id,title,difficulty,source
P40,Changing the String,Mid,https://codeforces.com/problemset/problem/2111/E
P41,Creating a Schedule,Mid,https://codeforces.com/problemset/problem/2111/D
P42,Equal Values,Easy,https://codeforces.com/problemset/problem/2111/C
P43,Fibonacci Cubes,Easy,https://codeforces.com/problemset/problem/2111/B
P44,Energy Crystals,Easy,https://codeforces.com/problemset/problem/2111/A
P45,Faculty,Hard,https://codeforces.com/problemset/problem/2110/F
P46,Melody,Hard,https://codeforces.com/problemset/problem/2110/E
P47,Fewer Batteries,Mid,https://codeforces.com/problemset/problem/2110/D
P48,Racing,Mid,https://codeforces.com/problemset/problem/2110/C
P49,Down with Brackets,Easy,https://codeforces.com/problemset/problem/2110/B
P50,Fashionable Array,Easy,https://codeforces.com/problemset/problem/2110/A
P51,Penguin Steps,Very Hard,https://codeforces.com/problemset/problem/2109/F
P52,Binary String Wowee,Hard,https://codeforces.com/problemset/problem/2109/E
P53,D/D/D,Mid,https://codeforces.com/problemset/problem/2109/D
P54,Hacking Numbers (Hard Version),Very Hard,https://codeforces.com/problemset/problem/2109/C3
P55,Hacking Numbers (Medium Version),Mid,https://codeforces.com/problemset/problem/2109/C2
P56,Hacking Numbers (Easy Version),Mid,https://codeforces.com/problemset/problem/2109/C1
P57,Slice to Survive,Easy,https://codeforces.com/problemset/problem/2109/B
P58,It's Time To Duel,Easy,https://codeforces.com/problemset/problem/2109/A
P59,Fallen Towers,Very Hard,https://codeforces.com/problemset/problem/2108/F
P60,Spruce Dispute,Very Hard,https://codeforces.com/problemset/problem/2108/E
P61,Needle in a Numstack,Hard,https://codeforces.com/problemset/problem/2108/D
P62,Neo's Escape,Mid,https://codeforces.com/problemset/problem/2108/C
P63,SUMdamental Decomposition,Mid,https://codeforces.com/problemset/problem/2108/B
P64,Permutation Warm-Up,Easy,https://codeforces.com/problemset/problem/2108/A
P65,Cycling (Hard Version),Very Hard,https://codeforces.com/problemset/problem/2107/F2
P66,Cycling (Easy Version),Hard,https://codeforces.com/problemset/problem/2107/F1
P67,Ain and Apple Tree,Very Hard,https://codeforces.com/problemset/problem/2107/E
P68,Apple Tree Traversing,Hard,https://codeforces.com/problemset/problem/2107/D
P69,Maximum Subarray Sum,Mid,https://codeforces.com/problemset/problem/2107/C
P70,Apples in Boxes,Easy,https://codeforces.com/problemset/problem/2107/B
P71,LRC and VIP,Easy,https://codeforces.com/problemset/problem/2107/A
P72,Baudelaire (hard version),Very Hard,https://codeforces.com/problemset/problem/2106/G2
P73,Baudelaire (easy version),Hard,https://codeforces.com/problemset/problem/2106/G1
P74,Goblin,Mid,https://codeforces.com/problemset/problem/2106/F
P75,Wolf,Mid,https://codeforces.com/problemset/problem/2106/E
P76,Flower Boy,Mid,https://codeforces.com/problemset/problem/2106/D
P77,Cherry Bomb,Easy,https://codeforces.com/problemset/problem/2106/C
P78,St. Chroma,Easy,https://codeforces.com/problemset/problem/2106/B
P79,Dr. TC,Easy,https://codeforces.com/problemset/problem/2106/A
P80,Modulo 3,Very Hard,https://codeforces.com/problemset/problem/2104/G
P81,Numbers and Strings,Very Hard,https://codeforces.com/problemset/problem/2104/F
P82,Unpleasant Strings,Mid,https://codeforces.com/problemset/problem/2104/E
P83,Array and GCD,Mid,https://codeforces.com/problemset/problem/2104/D
P84,Card Game,Easy,https://codeforces.com/problemset/problem/2104/C
P85,Move to the End,Easy,https://codeforces.com/problemset/problem/2104/B
P86,Three Decks,Easy,https://codeforces.com/problemset/problem/2104/A
P87,Maximize Nor,Very Hard,https://codeforces.com/problemset/problem/2103/F
P88,Keep the Sum,Very Hard,https://codeforces.com/problemset/problem/2103/E
P89,Local Construction,Hard,https://codeforces.com/problemset/problem/2103/D
P90,Median Splits,Mid,https://codeforces.com/problemset/problem/2103/C
P91,Binary Typewriter,Easy,https://codeforces.com/problemset/problem/2103/B
P92,Common Multiple,Easy,https://codeforces.com/problemset/problem/2103/A
P93,The Picky Cat,Easy,https://codeforces.com/problemset/problem/2102/B
P94,Dinner Time,Easy,https://codeforces.com/problemset/problem/2102/A
P95,Shoo Shatters the Sunshine,Very Hard,https://codeforces.com/problemset/problem/2101/F
P96,Kia Bakes a Cake,Very Hard,https://codeforces.com/problemset/problem/2101/E
P97,Mani and Segments,Very Hard,https://codeforces.com/problemset/problem/2101/D
P98,23 Kingdom,Hard,https://codeforces.com/problemset/problem/2101/C
P99,Quartet Swapping,Mid,https://codeforces.com/problemset/problem/2101/B
P100,Mex in the Grid,Mid,https://codeforces.com/problemset/problem/2101/A
P101,Sasha and the Apartment Purchase,Mid,https://codeforces.com/problemset/problem/2098/B
P102,Vadim's Collection,Easy,https://codeforces.com/problemset/problem/2098/A
P103,Lost Luggage,Very Hard,https://codeforces.com/problemset/problem/2097/F
P104,Clearing the Snowdrift,Very Hard,https://codeforces.com/problemset/problem/2097/E
P105,Homework,Very Hard,https://codeforces.com/problemset/problem/2097/D
P106,Bermuda Triangle,Hard,https://codeforces.com/problemset/problem/2097/C
P107,Baggage Claim,Hard,https://codeforces.com/problemset/problem/2097/B
P108,Sports Betting,Mid,https://codeforces.com/problemset/problem/2097/A
P109,Wonderful XOR Problem,Very Hard,https://codeforces.com/problemset/problem/2096/H
P110,Wonderful Guessing Game,Very Hard,https://codeforces.com/problemset/problem/2096/G
P111,Wonderful Impostors,Very Hard,https://codeforces.com/problemset/problem/2096/F
P112,Wonderful Teddy Bears,Hard,https://codeforces.com/problemset/problem/2096/E
P113,Wonderful Lightbulbs,Hard,https://codeforces.com/problemset/problem/2096/D
P114,Wonderful City,Mid,https://codeforces.com/problemset/problem/2096/C
P115,Wonderful Gloves,Easy,https://codeforces.com/problemset/problem/2096/B
P116,Wonderful Sticks,Easy,https://codeforces.com/problemset/problem/2096/A
P117,La Vaca Saturno Saturnita,Mid,https://codeforces.com/problemset/problem/2094/H
P118,Chimpanzini Bananini,Mid,https://codeforces.com/problemset/problem/2094/G
P119,Trulimero Trulicina,Mid,https://codeforces.com/problemset/problem/2094/F
P120,Boneca Ambalabu,Easy,https://codeforces.com/problemset/problem/2094/E
P121,Tung Tung Sahur,Easy,https://codeforces.com/problemset/problem/2094/D
P122,Brr Brrr Patapim,Easy,https://codeforces.com/problemset/problem/2094/C
P123,Bobritto Bandito,Easy,https://codeforces.com/problemset/problem/2094/B
P124,Trippi Troppi,Easy,https://codeforces.com/problemset/problem/2094/A
P125,Shorten the Array,Mid,https://codeforces.com/problemset/problem/2093/G
P126,Hackers and Neural Networks,Mid,https://codeforces.com/problemset/problem/2093/F
P127,Min Max MEX,Mid,https://codeforces.com/problemset/problem/2093/E
P128,Skibidi Table,Mid,https://codeforces.com/problemset/problem/2093/D
P129,Simple Repetition,Easy,https://codeforces.com/problemset/problem/2093/C
P130,Expensive Number,Easy,https://codeforces.com/problemset/problem/2093/B
P131,Ideal Generator,Easy,https://codeforces.com/problemset/problem/2093/A
P132,Andryusha and CCB,Very Hard,https://codeforces.com/problemset/problem/2092/F
P133,She knows...,Hard,https://codeforces.com/problemset/problem/2092/E
P134,Mishkin Energizer,Mid,https://codeforces.com/problemset/problem/2092/D
P135,Asuna and the Mosquitoes,Easy,https://codeforces.com/problemset/problem/2092/C
P136,Lady Bug,Easy,https://codeforces.com/problemset/problem/2092/B
P137,Kamilka and the Sheep,Easy,https://codeforces.com/problemset/problem/2092/A
P138,Gleb and Boating,Hard,https://codeforces.com/problemset/problem/2091/G
P139,Igor and Mountain,Mid,https://codeforces.com/problemset/problem/2091/F
P140,Interesting Ratio,Mid,https://codeforces.com/problemset/problem/2091/E
P141,Place of the Olympiad,Easy,https://codeforces.com/problemset/problem/2091/D
P142,Combination Lock,Easy,https://codeforces.com/problemset/problem/2091/C
P143,Team Training,Easy,https://codeforces.com/problemset/problem/2091/B
P144,Olympiad Date,Easy,https://codeforces.com/problemset/problem/2091/A
P145,Dining Hall,Mid,https://codeforces.com/problemset/problem/2090/C
P146,Pushing Balls,Easy,https://codeforces.com/problemset/problem/2090/B
P147,Treasure Hunt,Easy,https://codeforces.com/problemset/problem/2090/A
P148,Black Cat Collapse,Very Hard,https://codeforces.com/problemset/problem/2089/E
P149,Conditional Operators,Very Hard,https://codeforces.com/problemset/problem/2089/D
P150,Key of Like (Hard Version),Very Hard,https://codeforces.com/problemset/problem/2089/C2
P151,Key of Like (Easy Version),Hard,https://codeforces.com/problemset/problem/2089/C1
P152,Canteen (Hard Version),Hard,https://codeforces.com/problemset/problem/2089/B2
P153,Canteen (Easy Version),Mid,https://codeforces.com/problemset/problem/2089/B1
P154,Simple Permutation,Mid,https://codeforces.com/problemset/problem/2089/A
P155,Online Palindrome,Very Hard,https://codeforces.com/problemset/problem/2086/F
P156,Zebra-like Numbers,Hard,https://codeforces.com/problemset/problem/2086/E
P157,Even String,Mid,https://codeforces.com/problemset/problem/2086/D
P158,Disappearing Permutation,Mid,https://codeforces.com/problemset/problem/2086/C
P159,Large Array and Segments,Easy,https://codeforces.com/problemset/problem/2086/B
P160,Cloudberry Jam,Easy,https://codeforces.com/problemset/problem/2086/A
P161,Serval and Colorful Array (Hard Version),Very Hard,https://codeforces.com/problemset/problem/2085/F2
P162,Serval and Colorful Array (Easy Version),Very Hard,https://codeforces.com/problemset/problem/2085/F1
P163,Serval and Modulo,Hard,https://codeforces.com/problemset/problem/2085/E
P164,Serval and Kaitenzushi Buffet,Hard,https://codeforces.com/problemset/problem/2085/D
P165,Serval and The Formula,Mid,https://codeforces.com/problemset/problem/2085/C
P166,Serval and Final MEX,Easy,https://codeforces.com/problemset/problem/2085/B
P167,Serval and String Theory,Easy,https://codeforces.com/problemset/problem/2085/A
P168,Turtle and Nediam 2,Very Hard,https://codeforces.com/problemset/problem/2084/H
P169,Wish Upon a Satellite (Hard Version),Very Hard,https://codeforces.com/problemset/problem/2084/G2
P170,Wish Upon a Satellite (Easy Version),Very Hard,https://codeforces.com/problemset/problem/2084/G1
P171,Skyscape,Very Hard,https://codeforces.com/problemset/problem/2084/F
P172,Blossom,Hard,https://codeforces.com/problemset/problem/2084/E
P173,Arcology On Permafrost,Mid,https://codeforces.com/problemset/problem/2084/D
P174,You Soared Afar With Grace,Mid,https://codeforces.com/problemset/problem/2084/C
P175,MIN = GCD,Easy,https://codeforces.com/problemset/problem/2084/B
P176,Max and Mod,Easy,https://codeforces.com/problemset/problem/2084/A
P177,Floor or Ceil,Mid,https://codeforces.com/problemset/problem/2082/B
P178,Binary Matrix,Easy,https://codeforces.com/problemset/problem/2082/A
P179,Hard Formula (Hard Version),Very Hard,https://codeforces.com/problemset/problem/2081/G2
P180,Hard Formula,Very Hard,https://codeforces.com/problemset/problem/2081/G1
P181,Hot Matrix,Very Hard,https://codeforces.com/problemset/problem/2081/F
P182,Quantifier,Very Hard,https://codeforces.com/problemset/problem/2081/E
P183,MST in Modulo Graph,Very Hard,https://codeforces.com/problemset/problem/2081/D
P184,Quaternary Matrix,Very Hard,https://codeforces.com/problemset/problem/2081/C
P185,Balancing,Very Hard,https://codeforces.com/problemset/problem/2081/B
P186,Math Division,Mid,https://codeforces.com/problemset/problem/2081/A
P187,Order Statistics,Very Hard,https://codeforces.com/problemset/problem/2080/D
P188,Card Flip,Hard,https://codeforces.com/problemset/problem/2080/C
P189,Best Runner,Mid,https://codeforces.com/problemset/problem/2080/B
P190,Strong Connectivity Strikes Back,Very Hard,https://codeforces.com/problemset/problem/2080/A
P191,Cute Subsequences,Mid,https://codeforces.com/problemset/problem/2079/D
P192,Dreaming Is Not Harmful,Hard,https://codeforces.com/problemset/problem/2079/C
P193,Arithmetic Exercise,Very Hard,https://codeforces.com/problemset/problem/2079/B
P194,"Alice, Bob, And Two Arrays",Very Hard,https://codeforces.com/problemset/problem/2079/A
P195,Scammy Game Ad,Mid,https://codeforces.com/problemset/problem/2078/D
P196,Vicious Labyrinth,Easy,https://codeforces.com/problemset/problem/2078/B
P197,Final Verdict,Easy,https://codeforces.com/problemset/problem/2078/A
P198,RGB Walking,Very Hard,https://codeforces.com/problemset/problem/2077/G
P199,AND x OR,Very Hard,https://codeforces.com/problemset/problem/2077/F
P200,Another Folding Strip,Very Hard,https://codeforces.com/problemset/problem/2077/E
P201,Maximum Polygon,Very Hard,https://codeforces.com/problemset/problem/2077/D
P202,Binary Subsequence Value Sum,Hard,https://codeforces.com/problemset/problem/2077/C
P203,Finding OR Sum,Mid,https://codeforces.com/problemset/problem/2077/B
P204,Breach of Faith,Mid,https://codeforces.com/problemset/problem/2077/A
P205,Beautiful Sequence Returns,Very Hard,https://codeforces.com/problemset/problem/2075/F
P206,XOR Matrix,Very Hard,https://codeforces.com/problemset/problem/2075/E
P207,Equalization,Hard,https://codeforces.com/problemset/problem/2075/D
P208,Two Colors,Mid,https://codeforces.com/problemset/problem/2075/C
P209,Array Recoloring,Mid,https://codeforces.com/problemset/problem/2075/B
P210,To Zero,Easy,https://codeforces.com/problemset/problem/2075/A
P211,Game With Triangles: Season 2,Hard,https://codeforces.com/problemset/problem/2074/G
P212,Counting Necessary Nodes,Hard,https://codeforces.com/problemset/problem/2074/F
P213,Empty Triangle,Mid,https://codeforces.com/problemset/problem/2074/E
P214,Counting Points,Mid,https://codeforces.com/problemset/problem/2074/D
P215,XOR and Triangle,Easy,https://codeforces.com/problemset/problem/2074/C
P216,The Third Side,Easy,https://codeforces.com/problemset/problem/2074/B
P217,Draw a Square,Easy,https://codeforces.com/problemset/problem/2074/A
P218,Can You Reach There?,Very Hard,https://codeforces.com/problemset/problem/2073/M
P219,Boarding Queue,Mid,https://codeforces.com/problemset/problem/2073/L
P220,Book Sorting,Very Hard,https://codeforces.com/problemset/problem/2073/K
P221,Gathering Sharks,Hard,https://codeforces.com/problemset/problem/2073/J
P222,Squares on Grid Lines,Very Hard,https://codeforces.com/problemset/problem/2073/I
P223,Secret Lilies and Roses,Very Hard,https://codeforces.com/problemset/problem/2073/H
P224,Corrupted File,Hard,https://codeforces.com/problemset/problem/2073/G
P225,Hold the Star,Very Hard,https://codeforces.com/problemset/problem/2073/F
P226,Minus Operator,Very Hard,https://codeforces.com/problemset/problem/2073/E
P227,Tower of Hanoi,Hard,https://codeforces.com/problemset/problem/2073/D
P228,Cactus Connectivity,Very Hard,https://codeforces.com/problemset/problem/2073/C
P229,Three-Dimensional Embedding,Very Hard,https://codeforces.com/problemset/problem/2073/B
P230,Control Towers,Mid,https://codeforces.com/problemset/problem/2073/A
P231,I've Been Flipping Numbers for 300 Years and Calculated the Sum,Hard,https://codeforces.com/problemset/problem/2072/G
P232,"Goodbye, Banker Life",Mid,https://codeforces.com/problemset/problem/2072/F
P233,Do You Love Your Hero and His Two-Hit Multi-Target Attacks?,Mid,https://codeforces.com/problemset/problem/2072/E
P234,"For Wizards, the Exam Is Easy, but I Couldn't Handle It",Mid,https://codeforces.com/problemset/problem/2072/D
P235,Creating Keys for StORages Has Become My Main Skill,Easy,https://codeforces.com/problemset/problem/2072/C
P236,"Having Been a Treasurer in the Past, I Help Goblins Deceive",Easy,https://codeforces.com/problemset/problem/2072/B
P237,"New World, New Me, New Array",Easy,https://codeforces.com/problemset/problem/2072/A
P238,Towering Arrays,Very Hard,https://codeforces.com/problemset/problem/2071/F
P239,LeaFall,Very Hard,https://codeforces.com/problemset/problem/2071/E
P240,Infinite Sequence (Hard Version),Very Hard,https://codeforces.com/problemset/problem/2071/D2
P241,Infinite Sequence (Easy Version),Mid,https://codeforces.com/problemset/problem/2071/D1
P242,Trapmigiano Reggiano,Mid,https://codeforces.com/problemset/problem/2071/C
P243,Perfecto,Easy,https://codeforces.com/problemset/problem/2071/B
P244,The Play Never Ends,Easy,https://codeforces.com/problemset/problem/2071/A
P245,Friends and Pizza,Very Hard,https://codeforces.com/problemset/problem/2070/F
P246,Game with Binary String,Hard,https://codeforces.com/problemset/problem/2070/E
P247,Tree Jumps,Mid,https://codeforces.com/problemset/problem/2070/D
P248,Limited Repainting,Mid,https://codeforces.com/problemset/problem/2070/C
P249,Robot Program,Easy,https://codeforces.com/problemset/problem/2070/B
P250,FizzBuzz Remixed,Easy,https://codeforces.com/problemset/problem/2070/A
P251,Graph Inclusion,Very Hard,https://codeforces.com/problemset/problem/2069/F
P252,"A, B, AB and BA",Hard,https://codeforces.com/problemset/problem/2069/E
P253,Palindrome Shuffle,Mid,https://codeforces.com/problemset/problem/2069/D
P254,Beautiful Sequence,Mid,https://codeforces.com/problemset/problem/2069/C
P255,Set of Strangers,Easy,https://codeforces.com/problemset/problem/2069/B
P256,Was there an Array?,Easy,https://codeforces.com/problemset/problem/2069/A
P257,Amusement Park Rides,Very Hard,https://codeforces.com/problemset/problem/2068/K
P258,The Ultimate Wine Tasting Event,Hard,https://codeforces.com/problemset/problem/2068/J
P259,Pinball,Very Hard,https://codeforces.com/problemset/problem/2068/I
P260,Statues,Very Hard,https://codeforces.com/problemset/problem/2068/H
P261,A Very Long Hike,Very Hard,https://codeforces.com/problemset/problem/2068/G
P262,Mascot Naming,Mid,https://codeforces.com/problemset/problem/2068/F
P263,Porto Vs. Benfica,Very Hard,https://codeforces.com/problemset/problem/2068/E
P264,Morse Code,Very Hard,https://codeforces.com/problemset/problem/2068/D
P265,Ads,Hard,https://codeforces.com/problemset/problem/2068/C
P266,Urban Planning,Very Hard,https://codeforces.com/problemset/problem/2068/B
P267,Condorcet Elections,Hard,https://codeforces.com/problemset/problem/2068/A
P268,Devyatkino,Mid,https://codeforces.com/problemset/problem/2067/C
P269,Two Large Bags,Easy,https://codeforces.com/problemset/problem/2067/B
P270,Adjacent Digit Sums,Easy,https://codeforces.com/problemset/problem/2067/A
P271,Curse,Very Hard,https://codeforces.com/problemset/problem/2066/F
P272,Tropical Season,Very Hard,https://codeforces.com/problemset/problem/2066/E
P273,Club of Young Aircraft Builders (hard version),Very Hard,https://codeforces.com/problemset/problem/2066/D2
P274,Club of Young Aircraft Builders (easy version),Hard,https://codeforces.com/problemset/problem/2066/D1
P275,Bitwise Slides,Hard,https://codeforces.com/problemset/problem/2066/C
P276,White Magic,Mid,https://codeforces.com/problemset/problem/2066/B
P277,Object Identification,Mid,https://codeforces.com/problemset/problem/2066/A
P278,Bro Thinks He's Him,Hard,https://codeforces.com/problemset/problem/2065/H
P279,Skibidus and Capping,Mid,https://codeforces.com/problemset/problem/2065/G
P280,Skibidus and Slay,Mid,https://codeforces.com/problemset/problem/2065/F
P281,Skibidus and Rizz,Mid,https://codeforces.com/problemset/problem/2065/E
P282,Skibidus and Sigma,Easy,https://codeforces.com/problemset/problem/2065/D
P283,Skibidus and Fanum Tax (hard version),Mid,https://codeforces.com/problemset/problem/2065/C2
P284,Skibidus and Fanum Tax (easy version),Easy,https://codeforces.com/problemset/problem/2065/C1
P285,Skibidus and Ohio,Easy,https://codeforces.com/problemset/problem/2065/B
P286,Skibidus and Amog'u,Easy,https://codeforces.com/problemset/problem/2065/A
P287,We Be Summing,Very Hard,https://codeforces.com/problemset/problem/2064/F
P288,Mycraft Sand Sort,Hard,https://codeforces.com/problemset/problem/2064/E
P289,Eating,Mid,https://codeforces.com/problemset/problem/2064/D
P290,Remove the Ends,Mid,https://codeforces.com/problemset/problem/2064/C
P291,Variety is Discouraged,Easy,https://codeforces.com/problemset/problem/2064/B
P292,Brogramming Contest,Easy,https://codeforces.com/problemset/problem/2064/A
P293,Counting Is Not Fun (Hard Version),Very Hard,https://codeforces.com/problemset/problem/2063/F2
P294,Counting Is Not Fun (Easy Version),Hard,https://codeforces.com/problemset/problem/2063/F1
P295,Triangle Tree,Hard,https://codeforces.com/problemset/problem/2063/E
P296,Game With Triangles,Hard,https://codeforces.com/problemset/problem/2063/D
P297,Remove Exactly Two,Mid,https://codeforces.com/problemset/problem/2063/C
P298,Subsequence Update,Easy,https://codeforces.com/problemset/problem/2063/B
P299,Minimal Coprime,Easy,https://codeforces.com/problemset/problem/2063/A
P300,Galaxy Generator,Very Hard,https://codeforces.com/problemset/problem/2062/H
P301,Permutation Factory,Very Hard,https://codeforces.com/problemset/problem/2062/G
P302,Traveling Salescat,Very Hard,https://codeforces.com/problemset/problem/2062/F
P303,The Game (Hard Version),Very Hard,https://codeforces.com/problemset/problem/2062/E2
P304,The Game (Easy Version),Hard,https://codeforces.com/problemset/problem/2062/E1
P305,Balanced Tree,Hard,https://codeforces.com/problemset/problem/2062/D
P306,Cirno and Operations,Easy,https://codeforces.com/problemset/problem/2062/C
P307,Clockwork,Easy,https://codeforces.com/problemset/problem/2062/B
P308,String,Easy,https://codeforces.com/problemset/problem/2062/A
P309,Kevin and Nivek,Very Hard,https://codeforces.com/problemset/problem/2061/I
P310,Kevin and Stones (Hard Version),Very Hard,https://codeforces.com/problemset/problem/2061/H2
P311,Kevin and Stones (Easy Version),Very Hard,https://codeforces.com/problemset/problem/2061/H1
P312,Kevin and Teams,Very Hard,https://codeforces.com/problemset/problem/2061/G
P313,Kevin and Binary String (Hard Version),Very Hard,https://codeforces.com/problemset/problem/2061/F2
P314,Kevin and Binary String (Easy Version),Hard,https://codeforces.com/problemset/problem/2061/F1
P315,Kevin and And,Hard,https://codeforces.com/problemset/problem/2061/E
P316,Kevin and Numbers,Mid,https://codeforces.com/problemset/problem/2061/D
P317,Kevin and Puzzle,Mid,https://codeforces.com/problemset/problem/2061/C
P318,Kevin and Geometry,Easy,https://codeforces.com/problemset/problem/2061/B
P319,Kevin and Arithmetic,Easy,https://codeforces.com/problemset/problem/2061/A
P320,Bugged Sort,Hard,https://codeforces.com/problemset/problem/2060/G
P321,Multiplicative Arrays,Hard,https://codeforces.com/problemset/problem/2060/F
P322,Graph Composition,Mid,https://codeforces.com/problemset/problem/2060/E
P323,Subtract Min Sort,Easy,https://codeforces.com/problemset/problem/2060/D
P324,Game of Mathletes,Easy,https://codeforces.com/problemset/problem/2060/C
P325,Farmer John's Card Game,Easy,https://codeforces.com/problemset/problem/2060/B
P326,Fibonacciness,Easy,https://codeforces.com/problemset/problem/2060/A
P327,Stop Gaming (Hard Version),Very Hard,https://codeforces.com/problemset/problem/2059/E2
P328,Stop Gaming (Easy Version),Very Hard,https://codeforces.com/problemset/problem/2059/E1
P329,Graph and Graph,Mid,https://codeforces.com/problemset/problem/2059/D
P330,Customer Service,Mid,https://codeforces.com/problemset/problem/2059/C
P331,Cost of the Array,Mid,https://codeforces.com/problemset/problem/2059/B
P332,Milya and Two Arrays,Easy,https://codeforces.com/problemset/problem/2059/A
P333,Coffee Break,Very Hard,https://codeforces.com/problemset/problem/2057/H
P334,Secret Message,Very Hard,https://codeforces.com/problemset/problem/2057/G
P335,Formation,Very Hard,https://codeforces.com/problemset/problem/2057/F
P336,Another Exercise on Graphs (hard version),Very Hard,https://codeforces.com/problemset/problem/2057/E2
P337,Another Exercise on Graphs (Easy Version),Hard,https://codeforces.com/problemset/problem/2057/E1
P338,Gifts Order,Hard,https://codeforces.com/problemset/problem/2057/D
P339,Trip to the Olympiad,Mid,https://codeforces.com/problemset/problem/2057/C
P340,Gorilla and the Exam,Easy,https://codeforces.com/problemset/problem/2057/B
P341,MEX Table,Easy,https://codeforces.com/problemset/problem/2057/A
P342,Xor of Median (Hard Version),Very Hard,https://codeforces.com/problemset/problem/2056/F2
P343,Xor of Median (Easy Version),Very Hard,https://codeforces.com/problemset/problem/2056/F1
P344,Nested Segments,Very Hard,https://codeforces.com/problemset/problem/2056/E
P345,Unique Median,Hard,https://codeforces.com/problemset/problem/2056/D
P346,Palindromic Subsequences,Easy,https://codeforces.com/problemset/problem/2056/C
P347,Find the Permutation,Mid,https://codeforces.com/problemset/problem/2056/B
P348,Shape Perimeter,Easy,https://codeforces.com/problemset/problem/2056/A
P349,Cosmic Divide,Very Hard,https://codeforces.com/problemset/problem/2055/F
P350,Haystacks,Very Hard,https://codeforces.com/problemset/problem/2055/E
P351,Scarecrow,Hard,https://codeforces.com/problemset/problem/2055/D
P352,The Trail,Mid,https://codeforces.com/problemset/problem/2055/C
P353,Crafting,Easy,https://codeforces.com/problemset/problem/2055/B
P354,Two Frogs,Easy,https://codeforces.com/problemset/problem/2055/A
P355,Affectionate Arrays (Hard Version),Very Hard,https://codeforces.com/problemset/problem/2053/I2
P356,Affectionate Arrays (Easy Version),Very Hard,https://codeforces.com/problemset/problem/2053/I1
P357,Delicate Anti-monotonous Operations,Very Hard,https://codeforces.com/problemset/problem/2053/H
P358,Naive String Splits,Very Hard,https://codeforces.com/problemset/problem/2053/G
P359,Earnest Matrix Complement,Very Hard,https://codeforces.com/problemset/problem/2053/F
P360,Resourceful Caterpillar Sequence,Mid,https://codeforces.com/problemset/problem/2053/E
P361,Refined Product Optimality,Mid,https://codeforces.com/problemset/problem/2053/D
P362,Bewitching Stargazer,Mid,https://codeforces.com/problemset/problem/2053/C
