subject_id,relation,object_id
P129,考察,KP22
P130,考察,KP9
P130,考察,KP8
P131,考察,KP8
P132,考察,KP2
P132,考察,KP12
P132,考察,KP9
P132,考察,KP8
P132,考察,KP22
P132,考察,KP11
P133,考察,KP16
P133,考察,KP12
P133,考察,KP13
P133,考察,KP8
P134,考察,KP2
P134,考察,KP12
P134,考察,KP9
P134,考察,KP5
P134,考察,KP11
P135,考察,KP12
P135,考察,KP9
P135,考察,KP8
P136,考察,KP2
P136,考察,KP12
P136,考察,KP5
P136,考察,KP8
P137,考察,KP9
P137,考察,KP8
P137,考察,KP22
P137,考察,KP6
P138,考察,KP2
P138,考察,KP12
P138,考察,KP3
P138,考察,KP4
P138,考察,KP13
P138,考察,KP9
P138,考察,KP8
P138,考察,KP22
P138,考察,KP25
P139,考察,KP1
P139,考察,KP2
P139,考察,KP4
P140,考察,KP2
P140,考察,KP8
P140,考察,KP22
P140,考察,KP10
P141,考察,KP1
P141,考察,KP9
P141,考察,KP8
P142,考察,KP12
P142,考察,KP9
P143,考察,KP4
P143,考察,KP9
P143,考察,KP6
P144,考察,KP9
P144,考察,KP11
P145,考察,KP3
P145,考察,KP9
P145,考察,KP5
P145,考察,KP6
P146,考察,KP2
P146,考察,KP4
P146,考察,KP5
P147,考察,KP5
P147,考察,KP8
P149,考察,KP12
P150,考察,KP4
P150,考察,KP8
P150,考察,KP27
P151,考察,KP4
P151,考察,KP26
P151,考察,KP8
P151,考察,KP27
P152,考察,KP1
P152,考察,KP3
P152,考察,KP4
P152,考察,KP29
P152,考察,KP9
P152,考察,KP10
P153,考察,KP1
P153,考察,KP3
P153,考察,KP29
P153,考察,KP9
P153,考察,KP10
P154,考察,KP12
P154,考察,KP22
P155,考察,KP2
P155,考察,KP12
P155,考察,KP28
P156,考察,KP23
P156,考察,KP2
P156,考察,KP12
P156,考察,KP21
P156,考察,KP4
P156,考察,KP9
P156,考察,KP8
P157,考察,KP2
P157,考察,KP16
P157,考察,KP4
P157,考察,KP8
P157,考察,KP11
P158,考察,KP21
P158,考察,KP4
P158,考察,KP24
P158,考察,KP13
P158,考察,KP9
P158,考察,KP5
P159,考察,KP1
P159,考察,KP2
P159,考察,KP9
P160,考察,KP8
P161,考察,KP3
P161,考察,KP9
P162,考察,KP3
P162,考察,KP9
P163,考察,KP12
P163,考察,KP8
P163,考察,KP22
P164,考察,KP3
P164,考察,KP35
P164,考察,KP9
P165,考察,KP23
P165,考察,KP12
P165,考察,KP4
P165,考察,KP9
P166,考察,KP12
P166,考察,KP5
P167,考察,KP12
P167,考察,KP5
P168,考察,KP4
P168,考察,KP9
P169,考察,KP3
P169,考察,KP4
P170,考察,KP4
P170,考察,KP26
P171,考察,KP12
P171,考察,KP3
P171,考察,KP9
P172,考察,KP1
P172,考察,KP16
P172,考察,KP4
P172,考察,KP5
P172,考察,KP8
P172,考察,KP10
P173,考察,KP1
P173,考察,KP2
P173,考察,KP12
P173,考察,KP9
P173,考察,KP8
P174,考察,KP12
P174,考察,KP3
P174,考察,KP9
P174,考察,KP5
P175,考察,KP9
P175,考察,KP8
P175,考察,KP22
P176,考察,KP12
P176,考察,KP8
P177,考察,KP2
P177,考察,KP9
P178,考察,KP12
P178,考察,KP9
P179,考察,KP8
P180,考察,KP8
P180,考察,KP22
P181,考察,KP12
P181,考察,KP8
P182,考察,KP16
P182,考察,KP4
P182,考察,KP5
P183,考察,KP12
P183,考察,KP24
P183,考察,KP13
P183,考察,KP9
P183,考察,KP8
P183,考察,KP22
P183,考察,KP6
P183,考察,KP17
P184,考察,KP23
P184,考察,KP12
P184,考察,KP9
P184,考察,KP5
P184,考察,KP30
P185,考察,KP9
P186,考察,KP23
P186,考察,KP4
P186,考察,KP8
P186,考察,KP27
P187,考察,KP32
P187,考察,KP1
P188,考察,KP32
P189,考察,KP32
P190,考察,KP32
P190,考察,KP12
P190,考察,KP13
P191,考察,KP32
P191,考察,KP6
P192,考察,KP32
P193,考察,KP32
P193,考察,KP3
P193,考察,KP4
P193,考察,KP9
P194,考察,KP32
P194,考察,KP3
P194,考察,KP4
P194,考察,KP26
P195,考察,KP4
P195,考察,KP9
P195,考察,KP5
P196,考察,KP12
P196,考察,KP13
P196,考察,KP9
P196,考察,KP5
P196,考察,KP8
P197,考察,KP8
P198,考察,KP23
P198,考察,KP18
P198,考察,KP21
P198,考察,KP13
P198,考察,KP22
P199,考察,KP23
P199,考察,KP12
P199,考察,KP4
P200,考察,KP16
P200,考察,KP12
P200,考察,KP3
P200,考察,KP7
P200,考察,KP4
P200,考察,KP9
P200,考察,KP8
P201,考察,KP2
P201,考察,KP3
P201,考察,KP9
P201,考察,KP5
P201,考察,KP8
P202,考察,KP16
P202,考察,KP3
P202,考察,KP4
P202,考察,KP31
P202,考察,KP8
P202,考察,KP30
P203,考察,KP23
P203,考察,KP12
P203,考察,KP5
P203,考察,KP28
P203,考察,KP8
P204,考察,KP12
P204,考察,KP9
P204,考察,KP8
P204,考察,KP6
P205,考察,KP1
P205,考察,KP2
P205,考察,KP3
P205,考察,KP5
P206,考察,KP23
P206,考察,KP16
P206,考察,KP4
P206,考察,KP5
P206,考察,KP8
P207,考察,KP23
P207,考察,KP2
P207,考察,KP4
P207,考察,KP13
P207,考察,KP8
P208,考察,KP1
P208,考察,KP16
P208,考察,KP8
P209,考察,KP12
P209,考察,KP9
P210,考察,KP9
P210,考察,KP8
P211,考察,KP4
P211,考察,KP19
P212,考察,KP23
P212,考察,KP7
P212,考察,KP9
P212,考察,KP5
P212,考察,KP8
P213,考察,KP19
P213,考察,KP28
P213,考察,KP27
P214,考察,KP2
P214,考察,KP3
P214,考察,KP19
P214,考察,KP5
P214,考察,KP10
P215,考察,KP23
P215,考察,KP2
P215,考察,KP19
P215,考察,KP9
P215,考察,KP27
P216,考察,KP19
P216,考察,KP9
P216,考察,KP8
P217,考察,KP19
P217,考察,KP5
P223,考察,KP28
P226,考察,KP28
P231,考察,KP1
P231,考察,KP2
P231,考察,KP16
P231,考察,KP7
P231,考察,KP8
P231,考察,KP22
P232,考察,KP14
P232,考察,KP23
P232,考察,KP16
P232,考察,KP12
P232,考察,KP31
P232,考察,KP8
P232,考察,KP22
P233,考察,KP1
P233,考察,KP2
P233,考察,KP12
P233,考察,KP4
P233,考察,KP19
P233,考察,KP9
P233,考察,KP8
P234,考察,KP2
P234,考察,KP9
P234,考察,KP5
P235,考察,KP23
P235,考察,KP12
P235,考察,KP9
P236,考察,KP16
P236,考察,KP12
P236,考察,KP11
P237,考察,KP9
P237,考察,KP5
P237,考察,KP8
P238,考察,KP1
P238,考察,KP3
P239,考察,KP16
P239,考察,KP4
P239,考察,KP27
P239,考察,KP17
P240,考察,KP23
P240,考察,KP2
P240,考察,KP12
P240,考察,KP3
P240,考察,KP4
P240,考察,KP5
P240,考察,KP8
P241,考察,KP23
P241,考察,KP2
P241,考察,KP4
P241,考察,KP5
P241,考察,KP8
P242,考察,KP12
P242,考察,KP3
P242,考察,KP21
P242,考察,KP4
P242,考察,KP9
P242,考察,KP6
P242,考察,KP17
P243,考察,KP2
P243,考察,KP12
P243,考察,KP9
P243,考察,KP8
P244,考察,KP8
P244,考察,KP22
P245,考察,KP23
P245,考察,KP7
P245,考察,KP4
P245,考察,KP31
P246,考察,KP12
P246,考察,KP3
P246,考察,KP7
P246,考察,KP26
P246,考察,KP9
P246,考察,KP8
P247,考察,KP21
P247,考察,KP4
P247,考察,KP17
P248,考察,KP1
P248,考察,KP9
P249,考察,KP2
P249,考察,KP5
P249,考察,KP8
P250,考察,KP2
P250,考察,KP8
P251,考察,KP3
P251,考察,KP21
P251,考察,KP7
P251,考察,KP24
P251,考察,KP13
P252,考察,KP12
P252,考察,KP9
P252,考察,KP6
P252,考察,KP11
P253,考察,KP1
P253,考察,KP9
P253,考察,KP20
P253,考察,KP11
P253,考察,KP10
P254,考察,KP16
P254,考察,KP4
P254,考察,KP9
P254,考察,KP10
P255,考察,KP9
P255,考察,KP30
P256,考察,KP35
P256,考察,KP9
P257,考察,KP29
P257,考察,KP13
P258,考察,KP16
P258,考察,KP9
P259,考察,KP13
P259,考察,KP25
P260,考察,KP12
P260,考察,KP9
P260,考察,KP8
P261,考察,KP25
P262,考察,KP2
P262,考察,KP9
P262,考察,KP5
P262,考察,KP11
P263,考察,KP3
P263,考察,KP21
P263,考察,KP24
P263,考察,KP13
P263,考察,KP25
P264,考察,KP4
P264,考察,KP6
P264,考察,KP17
P265,考察,KP1
P265,考察,KP9
P265,考察,KP10
P266,考察,KP12
P267,考察,KP12
P267,考察,KP13
P267,考察,KP9
P267,考察,KP27
P268,考察,KP2
P268,考察,KP21
P268,考察,KP9
P268,考察,KP8
P269,考察,KP2
P269,考察,KP4
P269,考察,KP9
P269,考察,KP6
P270,考察,KP2
P270,考察,KP12
P270,考察,KP8
P271,考察,KP12
P271,考察,KP4
P271,考察,KP8
P272,考察,KP1
P272,考察,KP3
P272,考察,KP9
P272,考察,KP5
P273,考察,KP16
P273,考察,KP4
P273,考察,KP8
P274,考察,KP16
P274,考察,KP4
P274,考察,KP8
P275,考察,KP23
P275,考察,KP16
P275,考察,KP4
P275,考察,KP8
P276,考察,KP12
P276,考察,KP3
P276,考察,KP4
P276,考察,KP9
P276,考察,KP5
P277,考察,KP13
P277,考察,KP9
P277,考察,KP5
P277,考察,KP28
P278,考察,KP16
P278,考察,KP3
P278,考察,KP7
P278,考察,KP4
P278,考察,KP8
P278,考察,KP30
P279,考察,KP16
P279,考察,KP8
P279,考察,KP22
P280,考察,KP3
P280,考察,KP21
P280,考察,KP13
P280,考察,KP9
P280,考察,KP17
P281,考察,KP12
P281,考察,KP9
P281,考察,KP11
P282,考察,KP9
P282,考察,KP6
P283,考察,KP1
P283,考察,KP9
P284,考察,KP1
P284,考察,KP4
P284,考察,KP9
P285,考察,KP11
P286,考察,KP2
P286,考察,KP12
P286,考察,KP9
P286,考察,KP5
P286,考察,KP11
P287,考察,KP1
P287,考察,KP3
P287,考察,KP4
P287,考察,KP10
P288,考察,KP16
P288,考察,KP3
P288,考察,KP24
P288,考察,KP9
P288,考察,KP8
P288,考察,KP6
P289,考察,KP1
P289,考察,KP23
P289,考察,KP2
P289,考察,KP3
P289,考察,KP4
P289,考察,KP9
P289,考察,KP17
P289,考察,KP10
P290,考察,KP2
P290,考察,KP12
P290,考察,KP4
P290,考察,KP9
P291,考察,KP1
P291,考察,KP12
P291,考察,KP9
P291,考察,KP10
P292,考察,KP9
P292,考察,KP11
P293,考察,KP16
P293,考察,KP3
P293,考察,KP21
P293,考察,KP24
P293,考察,KP13
P293,考察,KP5
P293,考察,KP17
P294,考察,KP16
P294,考察,KP3
P294,考察,KP21
P294,考察,KP4
P294,考察,KP24
P294,考察,KP13
P294,考察,KP20
P294,考察,KP5
P294,考察,KP8
P294,考察,KP17
P295,考察,KP3
P295,考察,KP21
P295,考察,KP4
P295,考察,KP9
P295,考察,KP17
P296,考察,KP1
P296,考察,KP2
P296,考察,KP3
P296,考察,KP19
P296,考察,KP9
P296,考察,KP5
P296,考察,KP8
P296,考察,KP15
P296,考察,KP10
P297,考察,KP2
P297,考察,KP3
P297,考察,KP21
P297,考察,KP4
P297,考察,KP13
P297,考察,KP9
P297,考察,KP6
P297,考察,KP17
P298,考察,KP12
P298,考察,KP3
P298,考察,KP9
P298,考察,KP6
P299,考察,KP8
P299,考察,KP22
P300,考察,KP23
P300,考察,KP16
P300,考察,KP4
P301,考察,KP29
P301,考察,KP19
P301,考察,KP35
P301,考察,KP13
P302,考察,KP12
P302,考察,KP4
P302,考察,KP19
P302,考察,KP13
P302,考察,KP9
P302,考察,KP8
P302,考察,KP6
P303,考察,KP3
P303,考察,KP21
P303,考察,KP26
P303,考察,KP13
P303,考察,KP5
P303,考察,KP17
P304,考察,KP3
P304,考察,KP21
P304,考察,KP26
P304,考察,KP13
P304,考察,KP9
P304,考察,KP17
P305,考察,KP21
P305,考察,KP4
P305,考察,KP13
P305,考察,KP9
P305,考察,KP17
P306,考察,KP2
P306,考察,KP8
P307,考察,KP9
P307,考察,KP8
P308,考察,KP12
P308,考察,KP9
P308,考察,KP8
P308,考察,KP11
P309,考察,KP7
P309,考察,KP4
P310,考察,KP29
P310,考察,KP13
P311,考察,KP29
P311,考察,KP35
P311,考察,KP13
P312,考察,KP12
P312,考察,KP13
P312,考察,KP28
P313,考察,KP3
P313,考察,KP4
P314,考察,KP9
P314,考察,KP5
P315,考察,KP23
P315,考察,KP2
P315,考察,KP4
P315,考察,KP9
P315,考察,KP8
P315,考察,KP6
P316,考察,KP23
P316,考察,KP3
P317,考察,KP14
P317,考察,KP16
P317,考察,KP4
P318,考察,KP1
P318,考察,KP19
P319,考察,KP8
P320,考察,KP4
P320,考察,KP9
P320,考察,KP6
P321,考察,KP16
P321,考察,KP4
P321,考察,KP22
P322,考察,KP21
P322,考察,KP24
P322,考察,KP13
P322,考察,KP9
P323,考察,KP9
P324,考察,KP26
P324,考察,KP9
P324,考察,KP6
P324,考察,KP10
P325,考察,KP9
P325,考察,KP6
P326,考察,KP2
P327,考察,KP2
P327,考察,KP12
P327,考察,KP3
P327,考察,KP20
P327,考察,KP11
P328,考察,KP2
P328,考察,KP12
P328,考察,KP9
P328,考察,KP20
P328,考察,KP11
P329,考察,KP3
P329,考察,KP13
P329,考察,KP9
P329,考察,KP25
P330,考察,KP2
P330,考察,KP12
P330,考察,KP35
P330,考察,KP9
P330,考察,KP8
P330,考察,KP6
P331,考察,KP2
P331,考察,KP12
P331,考察,KP9
P331,考察,KP8
P332,考察,KP12
P332,考察,KP9
P332,考察,KP6
P333,考察,KP3
P333,考察,KP9
P333,考察,KP8
P334,考察,KP12
P334,考察,KP21
P334,考察,KP8
P335,考察,KP1
P335,考察,KP3
P335,考察,KP4
P335,考察,KP6
P335,考察,KP10
P336,考察,KP1
P336,考察,KP21
P336,考察,KP4
P336,考察,KP24
P336,考察,KP13
P336,考察,KP25
P336,考察,KP6
P337,考察,KP1
P337,考察,KP2
P337,考察,KP4
P337,考察,KP24
P337,考察,KP13
P337,考察,KP25
P337,考察,KP6
P338,考察,KP3
P338,考察,KP9
P338,考察,KP5
P338,考察,KP8
P338,考察,KP30
P339,考察,KP23
P339,考察,KP12
P339,考察,KP9
P339,考察,KP8
P340,考察,KP9
P340,考察,KP6
P341,考察,KP12
P341,考察,KP8
P342,考察,KP23
P342,考察,KP2
P342,考察,KP16
P342,考察,KP4
P342,考察,KP8
P343,考察,KP23
P343,考察,KP2
P343,考察,KP16
P343,考察,KP4
P343,考察,KP8
P344,考察,KP16
P344,考察,KP21
P344,考察,KP4
P344,考察,KP24
P344,考察,KP8
P345,考察,KP1
P345,考察,KP2
P345,考察,KP16
P345,考察,KP3
P345,考察,KP7
P345,考察,KP4
P346,考察,KP2
P346,考察,KP12
P346,考察,KP8
P347,考察,KP2
P347,考察,KP21
P347,考察,KP13
P347,考察,KP5
P347,考察,KP6
P348,考察,KP12
P348,考察,KP8
P349,考察,KP2
P349,考察,KP19
P349,考察,KP20
P349,考察,KP8
P349,考察,KP11
P350,考察,KP2
P350,考察,KP12
P350,考察,KP3
P350,考察,KP9
P350,考察,KP6
P351,考察,KP9
P351,考察,KP5
P351,考察,KP8
P352,考察,KP2
P352,考察,KP12
P352,考察,KP9
P352,考察,KP8
P352,考察,KP10
P353,考察,KP12
P353,考察,KP9
P353,考察,KP6
P354,考察,KP12
P354,考察,KP26
P354,考察,KP9
P354,考察,KP8
P355,考察,KP3
P355,考察,KP4
P355,考察,KP13
P355,考察,KP9
P355,考察,KP8
P355,考察,KP25
P355,考察,KP10
P356,考察,KP3
P356,考察,KP4
P356,考察,KP9
P357,考察,KP12
P357,考察,KP5
P358,考察,KP1
P358,考察,KP2
P358,考察,KP9
P358,考察,KP20
P358,考察,KP8
P358,考察,KP22
P358,考察,KP11
P359,考察,KP2
P359,考察,KP3
P359,考察,KP4
P359,考察,KP9
P359,考察,KP5
P359,考察,KP8
P360,考察,KP21
P360,考察,KP4
P360,考察,KP26
P360,考察,KP13
P360,考察,KP9
P360,考察,KP17
P361,考察,KP1
P361,考察,KP3
P361,考察,KP9
P361,考察,KP8
P361,考察,KP36
P361,考察,KP6
P362,考察,KP23
P362,考察,KP7
P362,考察,KP4
P362,考察,KP8
P363,考察,KP1
P363,考察,KP2
P363,考察,KP3
P363,考察,KP9
P364,考察,KP4
P364,考察,KP19
P364,考察,KP9
P364,考察,KP8
P365,考察,KP4
P365,考察,KP13
P365,考察,KP8
P365,考察,KP17
P368,考察,KP1
P368,考察,KP9
P368,考察,KP6
P369,考察,KP13
P369,考察,KP25
P370,考察,KP28
P371,考察,KP3
P371,考察,KP19
P371,考察,KP5
P372,考察,KP12
P372,考察,KP4
P372,考察,KP13
P373,考察,KP2
P373,考察,KP33
P373,考察,KP11
P374,考察,KP2
P374,考察,KP13
P375,考察,KP12
P375,考察,KP8
P377,考察,KP12
P378,考察,KP23
P378,考察,KP4
P378,考察,KP24
P378,考察,KP13
P379,考察,KP2
P379,考察,KP9
P379,考察,KP5
P379,考察,KP8
P380,考察,KP1
P380,考察,KP2
P380,考察,KP3
P380,考察,KP9
P380,考察,KP6
P381,考察,KP1
P381,考察,KP6
P381,考察,KP10
P382,考察,KP12
P382,考察,KP5
P383,考察,KP1
P383,考察,KP8
P384,考察,KP9
P385,考察,KP21
P385,考察,KP4
P385,考察,KP17
P386,考察,KP3
P386,考察,KP7
P386,考察,KP8
P386,考察,KP22
P387,考察,KP4
P387,考察,KP5
P387,考察,KP11
P388,考察,KP2
P388,考察,KP9
P388,考察,KP8
P388,考察,KP11
P389,考察,KP2
P389,考察,KP4
P389,考察,KP8
P390,考察,KP2
P390,考察,KP9
P390,考察,KP8
P391,考察,KP5
P392,考察,KP23
P392,考察,KP2
P392,考察,KP3
P392,考察,KP24
P392,考察,KP5
P393,考察,KP1
P393,考察,KP23
P393,考察,KP2
P393,考察,KP12
P393,考察,KP5
P393,考察,KP28
P394,考察,KP2
P394,考察,KP4
P395,考察,KP2
P395,考察,KP12
P395,考察,KP9
P395,考察,KP5
P396,考察,KP2
P396,考察,KP12
P396,考察,KP35
P396,考察,KP5
P397,考察,KP9
P397,考察,KP5
P398,考察,KP23
P398,考察,KP31
P398,考察,KP8
P399,考察,KP12
P400,考察,KP3
P400,考察,KP4
P401,考察,KP2
P401,考察,KP16
P401,考察,KP4
P401,考察,KP8
P402,考察,KP2
P402,考察,KP3
P402,考察,KP7
P402,考察,KP4
P402,考察,KP5
P402,考察,KP8
P402,考察,KP17
